tournament,date,average_driving_distance
Bob Hope Desert Classic,1980-01-13,245.35362318840578
Phoenix Open,1980-01-20,255.45512820512812
Andy Williams-San Diego Open Invitational,1980-01-27,253.9616438356163
Bing Crosby National Pro-Am,1980-02-03,256.0492753623188
Hawaiian Open,1980-02-10,258.93
Joe Garagiola-Tucson Open,1980-02-17,249.45492957746467
Glen Campbell-Los Angeles Open,1980-02-24,243.1028985507246
Bay Hill Classic,1980-03-02,246.27361111111102
Jackie Gleason-Inverrary Classic,1980-03-09,256.9499999999999
Doral-Eastern Open,1980-03-16,261.80579710144923
Tournament Players Championship,1980-03-23,260.0846153846154
Sea Pines Heritage,1980-03-30,240.90344827586202
Greater Greensboro Open,1980-04-06,248.19610389610378
Masters Tournament,1980-04-13,258.11739130434785
MONY Tournament of Champions,1980-04-20,247.16999999999996
Tallahassee Open,1980-04-20,257.5942307692307
Greater New Orleans Open,1980-04-27,257.15138888888873
Michelob-Houston Open,1980-05-04,256.96
Byron Nelson Golf Classic,1980-05-11,274.8919354838709
Colonial National Invitation,1980-05-18,259.6292307692307
Memorial Tournament,1980-05-25,255.90704225352115
Kemper Open,1980-06-01,268.02874999999995
Atlanta Classic,1980-06-08,258.5820512820513
U.S. Open Championship,1980-06-15,262.4813559322033
Canadian Open,1980-06-22,250.0970588235295
Danny Thomas Memphis Classic,1980-06-29,270.99487179487176
Western Open,1980-07-06,262.1012658227848
Greater Milwaukee Open,1980-07-13,261.6140845070422
Quad Cities Open,1980-07-20,264.0175675675675
Sammy Davis Jr.-Greater Hartford Open,1980-07-27,256.08235294117634
IVB-Golf Classic,1980-08-03,249.85857142857137
PGA Championship,1980-08-10,256.3013157894737
Manufacturers Hanover Westchester Classic,1980-08-17,257.92631578947356
World Series of Golf,1980-08-24,265.14782608695657
Buick-Goodwrench Open,1980-08-24,258.87599999999986
B.C. Open,1980-08-31,261.4521126760562
Pleasant Valley Jimmy Fund Classic,1980-09-07,252.5105263157894
Hall Of Fame,1980-09-14,266.8676470588234
San Antonio Texas Open,1980-09-21,266.838028169014
Anheuser-Busch Golf Classic,1980-09-28,260.22054794520545
Southern Open,1980-10-05,256.1149999999999
Pensacola Open,1980-10-12,262.2592105263157
Joe Garagiola-Tucson Open,1981-01-11,271.56486486486483
Bob Hope Desert Classic,1981-01-18,255.24647887323943
Phoenix Open,1981-01-25,267.35384615384606
Bing Crosby National Pro-Am,1981-02-01,243.30666666666673
Wickes/Andy Williams San Diego Open,1981-02-08,254.33623188405804
Hawaiian Open,1981-02-15,266.37352941176465
Glen Campbell-Los Angeles Open,1981-02-22,255.5969230769229
Bay Hill Classic,1981-03-01,260.9246376811593
American Motors Inverrary Classic,1981-03-08,257.99076923076916
Doral-Eastern Open,1981-03-15,254.49210526315778
Tournament Players Championship,1981-03-22,253.93698630136984
Sea Pines Heritage,1981-03-29,248.96956521739116
Greater Greensboro Open,1981-04-05,263.41486486486485
Masters Tournament,1981-04-12,250.18571428571423
MONY Tournament of Champions,1981-04-19,247.46896551724143
Tallahassee Open,1981-04-19,259.7355932203389
USF&G New Orleans Open,1981-04-26,261.8043478260868
Michelob-Houston Open,1981-05-03,262.3240506329114
Byron Nelson Golf Classic,1981-05-10,249.8260273972601
Colonial National Invitation,1981-05-17,262.282258064516
Memorial Tournament,1981-05-24,257.93194444444435
Kemper Open,1981-05-31,269.9306666666666
Atlanta Classic,1981-06-07,252.9050632911392
Manufacturers Hanover Westchester Classic,1981-06-14,247.6301369863012
U.S. Open Championship,1981-06-21,244.15161290322573
Danny Thomas Memphis Classic,1981-06-28,267.990410958904
Western Open,1981-07-05,267.7554054054054
Greater Milwaukee Open,1981-07-12,262.9887323943661
Quad Cities Open,1981-07-19,270.0207317073169
Anheuser-Busch Golf Classic,1981-07-26,260.4464788732393
Canadian Open,1981-08-02,269.2901408450703
PGA Championship,1981-08-09,253.21944444444432
Sammy Davis Jr.-Greater Hartford Open,1981-08-16,254.53483146067418
Buick Open,1981-08-23,267.6466666666665
World Series of Golf,1981-08-30,271.7142857142858
B.C. Open,1981-09-06,264.8013513513513
Pleasant Valley Jimmy Fund Classic,1981-09-13,254.26805555555543
Lajet Classic,1981-09-20,272.345588235294
Hall Of Fame,1981-09-27,260.4551282051282
Texas Open,1981-10-04,276.83239436619704
Southern Open,1981-10-11,262.15070422535194
Pensacola Open,1981-10-18,257.13333333333316
Joe Garagiola-Tucson Open,1982-01-10,266.6917808219178
Bob Hope Desert Classic,1982-01-17,253.10140845070424
Phoenix Open,1982-01-24,259.2051282051281
Wickes-Andy Williams San Diego Open,1982-01-31,252.3643835616437
Bing Crosby National Pro-Am,1982-02-07,252.46
Hawaiian Open,1982-02-14,245.2561643835616
Glen Campbell-Los Angeles Open,1982-02-21,263.7549295774646
Doral-Eastern Open,1982-02-28,252.38082191780816
Honda Inverrary Classic,1982-03-06,259.92777777777764
Bay Hill Classic,1982-03-07,251.12203389830506
Tournament Players Championship,1982-03-21,263.8974999999999
Sea Pines Heritage,1982-03-28,241.88888888888889
Greater Greensboro Open,1982-04-04,264.42739726027395
Masters Tournament,1982-04-11,249.5658536585366
Tallahassee Open,1982-04-18,267.91458333333327
MONY Tournament of Champions,1982-04-18,248.13225806451615
USF&G Classic,1982-04-25,256.54354838709673
Byron Nelson Golf Classic,1982-05-02,253.61153846153837
Michelob-Houston Open,1982-05-09,262.30571428571426
Colonial National Invitation,1982-05-16,261.44320987654305
Georgia-Pacific Atlanta Golf Classic,1982-05-23,256.8461538461537
Memorial Tournament,1982-05-30,248.60434782608687
Kemper Open,1982-06-06,257.26986301369857
Danny Thomas Memphis Classic,1982-06-13,258.44999999999993
U.S. Open Championship,1982-06-20,249.18437499999996
Manufacturers Hanover Westchester Classic,1982-06-27,240.1521739130434
Western Open,1982-07-04,244.6230769230768
Greater Milwaukee Open,1982-07-11,252.9941176470587
Miller High Life QCO,1982-07-18,258.02916666666664
Anheuser-Busch Golf Classic,1982-07-25,248.91447368421063
Canadian Open,1982-08-01,256.54857142857134
PGA Championship,1982-08-08,275.04594594594585
Sammy Davis Jr.-Greater Hartford Open,1982-08-15,259.74374999999975
Buick Open,1982-08-22,262.61081081081056
World Series of Golf,1982-08-29,270.42105263157896
B.C. Open,1982-09-05,253.72253521126748
Bank of Boston Classic,1982-09-12,256.18082191780815
Hall Of Fame,1982-09-19,250.44347826086948
Southern Open,1982-09-26,265.11566265060236
Texas Open,1982-10-03,276.7511111111109
Lajet Classic,1982-10-10,277.8469135802467
Pensacola Open,1982-10-24,256.845205479452
Walt Disney World Golf Classic,1982-10-31,253.81857142857132
Joe Garagiola-Tucson Open,1983-01-09,270.37125
Glen Campbell-Los Angeles Open,1983-01-16,256.76829268292676
Bob Hope Desert Classic,1983-01-23,254.55000000000004
Phoenix Open,1983-01-30,258.65308641975304
Bing Crosby National Pro-Am,1983-02-06,248.20327868852456
Hawaiian Open,1983-02-13,262.62428571428563
Isuzu-Andy Williams San Diego Open,1983-02-20,254.8424657534245
Doral-Eastern Open,1983-02-27,250.91549295774632
Honda Inverrary Classic,1983-03-06,260.8549999999999
Bay Hill Classic,1983-03-13,257.86621621621606
USF&G Classic,1983-03-20,259.9243243243242
Tournament Players Championship,1983-03-27,254.6560606060606
Greater Greensboro Open,1983-04-03,246.75
Masters Tournament,1983-04-11,253.76530612244886
Sea Pines Heritage,1983-04-17,247.3459459459457
MONY Tournament of Champions,1983-04-24,248.22142857142862
Byron Nelson Golf Classic,1983-05-01,270.12297297297283
Houston Coca-Cola Open,1983-05-08,257.1
Colonial National Invitation,1983-05-15,260.73835616438345
Georgia-Pacific Atlanta Golf Classic,1983-05-22,247.3347826086957
Memorial Tournament,1983-05-29,250.60428571428565
Kemper Open,1983-06-05,266.0160493827159
Manufacturers Hanover Westchester Classic,1983-06-12,249.87530864197518
U.S. Open Championship,1983-06-16,269.40428571428566
Danny Thomas Memphis Classic,1983-06-26,260.7774647887323
Western Open,1983-07-03,256.7969696969696
Greater Milwaukee Open,1983-07-10,264.65584415584414
Miller High Life QCO,1983-07-17,271.10256410256403
Anheuser-Busch Golf Classic,1983-07-24,266.14383561643837
Canadian Open,1983-07-31,262.7299999999999
PGA Championship,1983-08-07,257.8540229885057
Buick Open,1983-08-14,255.06849315068487
Sammy Davis Jr.-Greater Hartford Open,1983-08-21,254.80285714285705
World Series of Golf,1983-08-28,262.2682926829268
B.C. Open,1983-09-04,261.09493670886064
Bank of Boston Classic,1983-09-11,266.27560975609754
Panasonic Las Vegas Pro Celebrity Classic,1983-09-18,266.925
Lajet Coors Classic,1983-09-25,266.5358974358973
